currentColorRatio, currentNodeRatio, averageNodesUsedPerColor, averageEdgesPerNode, minNeighbors, maxNeighbors, bestH
0.015625,0.015625,1.0,0.08791208791208792,27,21,0
0.015625,0.03125,2.0,0.08791208791208792,27,21,4
0.03125,0.046875,1.6666666666666667,0.08791208791208792,27,21,0
0.03125,0.0625,2.5,0.08791208791208792,27,21,3
0.03125,0.078125,3.4,0.08791208791208792,27,21,3
0.03125,0.09375,4.333333333333333,0.08791208791208792,27,21,13
0.03125,0.109375,4.142857142857143,0.08791208791208792,27,21,1
0.03125,0.125,4.25,0.08791208791208792,27,21,3
0.03125,0.140625,4.555555555555555,0.08791208791208792,27,21,14
0.03125,0.15625,5.2,0.08791208791208792,27,21,4
0.046875,0.171875,4.818181818181818,0.08791208791208792,27,21,0
0.046875,0.1875,4.666666666666667,0.08791208791208792,27,21,1
0.046875,0.203125,5.0,0.08791208791208792,27,21,3
0.046875,0.21875,5.571428571428571,0.08791208791208792,27,21,14
0.046875,0.234375,5.933333333333334,0.08791208791208792,27,21,14
0.046875,0.25,5.875,0.08791208791208792,27,21,2
0.046875,0.265625,6.294117647058823,0.08791208791208792,27,21,14
0.0625,0.28125,6.0,0.08791208791208792,27,21,0
0.0625,0.296875,6.052631578947368,0.08791208791208792,27,21,3
0.0625,0.3125,6.2,0.08791208791208792,27,21,3
0.0625,0.328125,6.0476190476190474,0.08791208791208792,27,21,2
0.0625,0.34375,6.2727272727272725,0.08791208791208792,27,21,4
0.0625,0.359375,6.217391304347826,0.08791208791208792,27,21,14
0.078125,0.375,6.0,0.08791208791208792,27,21,0
0.078125,0.390625,5.88,0.08791208791208792,27,21,1
0.078125,0.40625,5.923076923076923,0.08791208791208792,27,21,3
0.078125,0.421875,5.888888888888889,0.08791208791208792,27,21,2
0.078125,0.4375,5.928571428571429,0.08791208791208792,27,21,13
0.078125,0.453125,6.0344827586206895,0.08791208791208792,27,21,4
0.09375,0.46875,5.866666666666666,0.08791208791208792,27,21,0
0.09375,0.484375,5.774193548387097,0.08791208791208792,27,21,1
0.09375,0.5,5.75,0.08791208791208792,27,21,13
0.09375,0.515625,5.848484848484849,0.08791208791208792,27,21,3
0.109375,0.53125,5.705882352941177,0.08791208791208792,27,21,0
0.109375,0.546875,5.742857142857143,0.08791208791208792,27,21,3
0.109375,0.5625,5.833333333333333,0.08791208791208792,27,21,14
0.109375,0.578125,5.972972972972973,0.08791208791208792,27,21,14
0.109375,0.59375,6.105263157894737,0.08791208791208792,27,21,13
0.109375,0.609375,6.0256410256410255,0.08791208791208792,27,21,1
0.109375,0.625,6.0,0.08791208791208792,27,21,2
0.125,0.640625,5.878048780487805,0.08791208791208792,27,21,0
0.125,0.65625,5.904761904761905,0.08791208791208792,27,21,0
0.125,0.671875,5.837209302325581,0.08791208791208792,27,21,0
0.125,0.6875,5.954545454545454,0.08791208791208792,27,21,13
0.125,0.703125,6.111111111111111,0.08791208791208792,27,21,3
0.125,0.71875,6.086956521739131,0.08791208791208792,27,21,2
0.140625,0.734375,5.9787234042553195,0.08791208791208792,27,21,0
0.140625,0.75,5.916666666666667,0.08791208791208792,27,21,1
0.140625,0.765625,5.938775510204081,0.08791208791208792,27,21,13
0.140625,0.78125,5.92,0.08791208791208792,27,21,2
0.140625,0.796875,5.9411764705882355,0.08791208791208792,27,21,2
0.140625,0.8125,6.0,0.08791208791208792,27,21,2
0.140625,0.828125,6.056603773584905,0.08791208791208792,27,21,2
0.140625,0.84375,6.148148148148148,0.08791208791208792,27,21,4
0.15625,0.859375,6.054545454545455,0.08791208791208792,27,21,0
0.15625,0.875,6.0,0.08791208791208792,27,21,0
0.171875,0.890625,5.912280701754386,0.08791208791208792,27,21,0
0.171875,0.90625,5.896551724137931,0.08791208791208792,27,21,1
0.171875,0.921875,5.9491525423728815,0.08791208791208792,27,21,14
0.171875,0.9375,5.966666666666667,0.08791208791208792,27,21,1
0.171875,0.953125,6.049180327868853,0.08791208791208792,27,21,1
0.171875,0.96875,6.0,0.08791208791208792,27,21,1
0.1875,0.984375,5.920634920634921,0.08791208791208792,27,21,0
0.1875,1.0,5.875,0.08791208791208792,27,21,0
