currentColorRatio, currentNodeRatio, averageNodesUsedPerColor, averageEdgesPerNode, minNeighbors, maxNeighbors, bestH
0.04,0.04,1.0,0.15625,16,12,0
0.04,0.08,2.0,0.15625,16,12,3
0.08,0.12,1.6666666666666667,0.15625,16,12,0
0.08,0.16,2.5,0.15625,16,12,14
0.08,0.2,3.4,0.15625,16,12,3
0.08,0.24,4.333333333333333,0.15625,16,12,13
0.08,0.28,4.142857142857143,0.15625,16,12,1
0.08,0.32,4.25,0.15625,16,12,3
0.12,0.36,3.888888888888889,0.15625,16,12,0
0.12,0.4,3.8,0.15625,16,12,2
0.16,0.44,3.5454545454545454,0.15625,16,12,0
0.16,0.48,3.5,0.15625,16,12,1
0.16,0.52,3.769230769230769,0.15625,16,12,3
0.16,0.56,3.857142857142857,0.15625,16,12,2
0.2,0.6,3.6666666666666665,0.15625,16,12,0
0.2,0.64,3.75,0.15625,16,12,0
0.2,0.68,3.7058823529411766,0.15625,16,12,2
0.2,0.72,3.888888888888889,0.15625,16,12,14
0.2,0.76,4.052631578947368,0.15625,16,12,13
0.24,0.8,3.9,0.15625,16,12,0
0.24,0.84,3.9523809523809526,0.15625,16,12,0
0.24,0.88,3.909090909090909,0.15625,16,12,0
0.28,0.92,3.782608695652174,0.15625,16,12,0
0.28,0.96,3.9166666666666665,0.15625,16,12,0
0.28,1.0,3.88,0.15625,16,12,0
