currentColorRatio, currentNodeRatio, averageNodesUsedPerColor, averageEdgesPerNode, minNeighbors, maxNeighbors, bestH
0.04,0.04,1.0,0.15625,16,12,0
0.04,0.08,2.0,0.15625,16,12,13
0.08,0.12,1.6666666666666667,0.15625,16,12,0
0.08,0.16,2.0,0.15625,16,12,1
0.08,0.2,2.6,0.15625,16,12,3
0.08,0.24,3.0,0.15625,16,12,13
0.12,0.28,2.7142857142857144,0.15625,16,12,0
0.12,0.32,3.25,0.15625,16,12,3
0.12,0.36,3.2222222222222223,0.15625,16,12,2
0.12,0.4,3.4,0.15625,16,12,13
0.16,0.44,3.1818181818181817,0.15625,16,12,0
0.16,0.48,3.1666666666666665,0.15625,16,12,1
0.2,0.52,3.0,0.15625,16,12,0
0.2,0.56,3.2857142857142856,0.15625,16,12,0
0.2,0.6,3.2666666666666666,0.15625,16,12,0
0.2,0.64,3.375,0.15625,16,12,2
0.2,0.68,3.4705882352941178,0.15625,16,12,2
0.2,0.72,3.7777777777777777,0.15625,16,12,4
0.2,0.76,3.9473684210526314,0.15625,16,12,2
0.24,0.8,3.8,0.15625,16,12,0
0.24,0.84,3.9523809523809526,0.15625,16,12,0
0.24,0.88,3.909090909090909,0.15625,16,12,0
0.28,0.92,3.782608695652174,0.15625,16,12,0
0.28,0.96,4.0,0.15625,16,12,2
0.28,1.0,3.96,0.15625,16,12,0
