currentColorRatio, currentNodeRatio, averageNodesUsedPerColor, averageEdgesPerNode, minNeighbors, maxNeighbors, bestH
0.04,0.04,1.0,0.15625,16,12,0
0.04,0.08,2.0,0.15625,16,12,3
0.08,0.12,1.6666666666666667,0.15625,16,12,0
0.08,0.16,2.5,0.15625,16,12,4
0.08,0.2,2.6,0.15625,16,12,1
0.12,0.24,2.3333333333333335,0.15625,16,12,0
0.12,0.28,2.7142857142857144,0.15625,16,12,13
0.12,0.32,3.25,0.15625,16,12,3
0.12,0.36,3.2222222222222223,0.15625,16,12,2
0.12,0.4,3.8,0.15625,16,12,2
0.12,0.44,3.909090909090909,0.15625,16,12,14
0.16,0.48,3.6666666666666665,0.15625,16,12,0
0.16,0.52,3.6153846153846154,0.15625,16,12,1
0.2,0.56,3.4285714285714284,0.15625,16,12,0
0.2,0.6,3.4,0.15625,16,12,0
0.2,0.64,3.5,0.15625,16,12,2
0.2,0.68,3.588235294117647,0.15625,16,12,2
0.2,0.72,3.7777777777777777,0.15625,16,12,2
0.24,0.76,3.6315789473684212,0.15625,16,12,0
0.24,0.8,3.6,0.15625,16,12,2
0.24,0.84,3.6666666666666665,0.15625,16,12,4
0.28,0.88,3.5454545454545454,0.15625,16,12,0
0.28,0.92,3.5217391304347827,0.15625,16,12,0
0.28,0.96,3.6666666666666665,0.15625,16,12,2
0.28,1.0,3.72,0.15625,16,12,0
